molecule_list_name,peptide_modified_sequence,genotype,timepoint,bio_rep,tech_rep,total_area
MOL_0001,PEP_00002,Genotype_A,2,3,1,9.343256102182928e-4
MOL_0001,PEP_00002,Genotype_A,2,3,2,0.00150770474933547
MOL_0001,PEP_00002,Genotype_A,4,1,1,0.00333636519782473
MOL_0001,PEP_00002,Genotype_A,4,1,2,0.00262089941390585
MOL_0001,PEP_00002,Genotype_A,4,2,1,0.00258631945285438
MOL_0001,PEP_00002,Genotype_A,4,2,2,0.00145907438753477
MOL_0001,PEP_00002,Genotype_A,4,3,1,0.00240305443381798
MOL_0001,PEP_00002,Genotype_A,4,3,2,0.00215568827250862
MOL_0001,PEP_00002,Genotype_A,6,1,1,6.783814398706836e-4
MOL_0001,PEP_00002,Genotype_A,6,1,2,0.0010242193723516
MOL_0001,PEP_00002,Genotype_A,6,2,1,0.00145744171801456
MOL_0001,PEP_00002,Genotype_A,6,2,2,0.00112113812801564
MOL_0001,PEP_00002,Genotype_A,6,3,1,0.00105418529632198
MOL_0001,PEP_00002,Genotype_A,6,3,2,9.09646465263431e-4
MOL_0001,PEP_00002,Genotype_B,0,1,1,5.406964235270503e-4
MOL_0001,PEP_00002,Genotype_B,0,1,2,9.242495299017412e-4
MOL_0001,PEP_00002,Genotype_B,0,2,1,3.312542866510084e-4
MOL_0001,PEP_00002,Genotype_B,0,2,2,3.100649576332723e-4
MOL_0001,PEP_00002,Genotype_B,0,3,1,NA
MOL_0001,PEP_00002,Genotype_B,0,3,2,NA
MOL_0001,PEP_00002,Genotype_B,1,1,1,0.0016308680015039
MOL_0001,PEP_00002,Genotype_B,1,1,2,0.00241357727998868
MOL_0001,PEP_00002,Genotype_B,1,2,1,0.00143496838749961
MOL_0001,PEP_00002,Genotype_B,1,2,2,0.00169700845465303
MOL_0001,PEP_00002,Genotype_B,1,3,1,0.00546643499137942
MOL_0001,PEP_00002,Genotype_B,1,3,2,0.00362708500289582
MOL_0001,PEP_00002,Genotype_B,1.5,1,1,0.00209869145862261
MOL_0001,PEP_00002,Genotype_B,1.5,1,2,0.00241375229257673
MOL_0001,PEP_00002,Genotype_B,1.5,2,1,0.0014549900283774
MOL_0001,PEP_00002,Genotype_B,1.5,2,2,0.00253869202324412
MOL_0001,PEP_00002,Genotype_B,1.5,3,1,0.00146610873127554
MOL_0001,PEP_00002,Genotype_B,1.5,3,2,0.00173774743302022
MOL_0001,PEP_00002,Genotype_B,2,1,1,8.033612085693449e-4
MOL_0001,PEP_00002,Genotype_B,2,1,2,0.002088883523646
MOL_0001,PEP_00002,Genotype_B,2,2,1,5.395112821886334e-4
MOL_0001,PEP_00002,Genotype_B,2,2,2,0.00340818943056544
MOL_0001,PEP_00002,Genotype_B,2,3,1,0.00552029452625066
MOL_0001,PEP_00002,Genotype_B,2,3,2,0.00376456447530654
MOL_0001,PEP_00002,Genotype_B,4,1,1,0.00338659903486749
MOL_0001,PEP_00002,Genotype_B,4,1,2,0.0021420895214944
MOL_0001,PEP_00002,Genotype_B,4,2,1,0.0042782363840825
MOL_0001,PEP_00002,Genotype_B,4,2,2,0.00362924652402753
MOL_0001,PEP_00002,Genotype_B,4,3,1,0.0033626915957138
MOL_0001,PEP_00002,Genotype_B,4,3,2,0.00251737857067944
MOL_0001,PEP_00002,Genotype_B,6,1,1,0.00158864501040579
MOL_0001,PEP_00002,Genotype_B,6,1,2,0.00167365701386987
MOL_0001,PEP_00002,Genotype_B,6,2,1,0.00103096750329016
MOL_0001,PEP_00002,Genotype_B,6,2,2,6.81672470767079e-4
MOL_0001,PEP_00002,Genotype_B,6,3,1,0.00194877009829942
MOL_0001,PEP_00002,Genotype_B,6,3,2,6.895459129111646e-4
MOL_0002,PEP_00003,Genotype_A,0,1,1,0.00322286993707572
MOL_0002,PEP_00003,Genotype_A,0,1,2,0.00251311329121038
MOL_0002,PEP_00003,Genotype_A,0,2,1,0.00259619152371395
MOL_0002,PEP_00003,Genotype_A,0,2,2,0.00184787751310028
MOL_0002,PEP_00003,Genotype_A,0,3,1,4.708498218298273e-4
MOL_0002,PEP_00003,Genotype_A,0,3,2,NA
MOL_0002,PEP_00003,Genotype_A,1,1,1,0.00271645569078222
MOL_0002,PEP_00003,Genotype_A,1,1,2,4.995677588229338e-4
MOL_0002,PEP_00003,Genotype_A,1,2,1,0.00121187648705693
MOL_0002,PEP_00003,Genotype_A,1,2,2,NA
MOL_0002,PEP_00003,Genotype_A,1,3,1,0.00238384005981573
MOL_0002,PEP_00003,Genotype_A,1,3,2,5.687138448993908e-4
MOL_0002,PEP_00003,Genotype_A,1.5,1,1,0.00281881108815561
MOL_0002,PEP_00003,Genotype_A,1.5,1,2,0.00203458592383773
MOL_0002,PEP_00003,Genotype_A,1.5,2,1,0.00113832267205848
MOL_0002,PEP_00003,Genotype_A,1.5,2,2,1.9178523554152883e-4
MOL_0002,PEP_00003,Genotype_A,1.5,3,1,0.00135510859894673
MOL_0002,PEP_00003,Genotype_A,1.5,3,2,1.438564729898944e-4
MOL_0002,PEP_00003,Genotype_A,2,1,1,0.00322748468422863
MOL_0002,PEP_00003,Genotype_A,2,1,2,0.00143038311413985
MOL_0002,PEP_00003,Genotype_A,2,2,1,0.00178009970061191
MOL_0002,PEP_00003,Genotype_A,2,2,2,4.1130426622143463e-4
MOL_0002,PEP_00003,Genotype_A,2,3,1,0.00220086081163441
MOL_0002,PEP_00003,Genotype_A,2,3,2,5.034537829890457e-4
MOL_0002,PEP_00003,Genotype_A,4,1,1,0.00310234799031767
MOL_0002,PEP_00003,Genotype_A,4,1,2,5.826452479997222e-4
MOL_0002,PEP_00003,Genotype_A,4,2,1,0.00116485452047974
MOL_0002,PEP_00003,Genotype_A,4,2,2,NA
MOL_0002,PEP_00003,Genotype_A,4,3,1,0.00155424634351307
MOL_0002,PEP_00003,Genotype_A,4,3,2,1.8299550654492065e-4
MOL_0002,PEP_00003,Genotype_A,6,1,1,0.00272601193137483
MOL_0002,PEP_00003,Genotype_A,6,1,2,0.00255534325605274
MOL_0002,PEP_00003,Genotype_A,6,2,1,4.87411217743619e-4
MOL_0002,PEP_00003,Genotype_A,6,2,2,NA
MOL_0002,PEP_00003,Genotype_A,6,3,1,0.00387321847572569
MOL_0002,PEP_00003,Genotype_A,6,3,2,0.00337217834234993
MOL_0002,PEP_00003,Genotype_B,0,1,1,0.00383534359396712
MOL_0002,PEP_00003,Genotype_B,0,1,2,0.00223518574652291
MOL_0002,PEP_00003,Genotype_B,0,2,1,0.00323046045243339
MOL_0002,PEP_00003,Genotype_B,0,2,2,0.00218607244913996
MOL_0002,PEP_00003,Genotype_B,0,3,1,3.4566105036609214e-4
MOL_0002,PEP_00003,Genotype_B,0,3,2,1.3790489850287223e-4
MOL_0002,PEP_00003,Genotype_B,1,1,1,0.00167490835773302
MOL_0002,PEP_00003,Genotype_B,1,1,2,7.715467679228786e-5
MOL_0002,PEP_00003,Genotype_B,1,2,1,0.00263005600990583
MOL_0002,PEP_00003,Genotype_B,1,2,2,0.00138246607340043
MOL_0002,PEP_00003,Genotype_B,1,3,1,0.00187182741889996
MOL_0002,PEP_00003,Genotype_B,1,3,2,9.011467444615572e-4
MOL_0002,PEP_00003,Genotype_B,1.5,1,1,0.00177268072853221
MOL_0002,PEP_00003,Genotype_B,1.5,1,2,4.892501650279704e-4
MOL_0002,PEP_00003,Genotype_B,1.5,2,1,0.00125819097569977
MOL_0002,PEP_00003,Genotype_B,1.5,2,2,1.3701636652495628e-4
MOL_0002,PEP_00003,Genotype_B,1.5,3,1,1.953994834449812e-4
MOL_0002,PEP_00003,Genotype_B,1.5,3,2,NA
MOL_0002,PEP_00003,Genotype_B,2,1,1,0.00123021614922778
MOL_0002,PEP_00003,Genotype_B,2,1,2,NA
MOL_0002,PEP_00003,Genotype_B,2,2,1,4.045093916220153e-4
MOL_0002,PEP_00003,Genotype_B,2,2,2,1.3492858572130057e-4
MOL_0002,PEP_00003,Genotype_B,2,3,1,0.00240319209113067
MOL_0002,PEP_00003,Genotype_B,2,3,2,0.00102008399750839
MOL_0002,PEP_00003,Genotype_B,4,1,1,0.00150009689315713
MOL_0002,PEP_00003,Genotype_B,4,1,2,4.1825332887281103e-4
MOL_0002,PEP_00003,Genotype_B,4,2,1,9.260232104217076e-4
MOL_0002,PEP_00003,Genotype_B,4,2,2,1.7479822247946065e-4
MOL_0002,PEP_00003,Genotype_B,4,3,1,8.175469949963342e-4
MOL_0002,PEP_00003,Genotype_B,4,3,2,NA
MOL_0002,PEP_00003,Genotype_B,6,1,1,1.1000465509783131e-4
MOL_0002,PEP_00003,Genotype_B,6,1,2,NA
MOL_0002,PEP_00003,Genotype_B,6,2,1,0.00321991555440037
MOL_0002,PEP_00003,Genotype_B,6,2,2,0.00324752787537697
MOL_0002,PEP_00003,Genotype_B,6,3,1,1.995209558397496e-4
MOL_0002,PEP_00003,Genotype_B,6,3,2,NA
MOL_0002,PEP_00004,Genotype_A,0,1,1,8.264028114651231e-4
MOL_0002,PEP_00004,Genotype_A,0,1,2,0.00173749689148271
MOL_0002,PEP_00004,Genotype_A,0,2,1,0.00138532487331374
MOL_0002,PEP_00004,Genotype_A,0,2,2,0.00177046487317699
MOL_0002,PEP_00004,Genotype_A,0,3,1,1.8070735021668812e-4
MOL_0002,PEP_00004,Genotype_A,0,3,2,2.3802833716641487e-4
MOL_0002,PEP_00004,Genotype_A,1,1,1,0.00376746385116974
MOL_0002,PEP_00004,Genotype_A,1,1,2,0.00318144961800233
MOL_0002,PEP_00004,Genotype_A,1,2,1,0.00198103892956603
MOL_0002,PEP_00004,Genotype_A,1,2,2,NA
MOL_0002,PEP_00004,Genotype_A,1,3,1,0.00329786246565996
MOL_0002,PEP_00004,Genotype_A,1,3,2,0.00482042627092047
MOL_0002,PEP_00004,Genotype_A,1.5,1,1,0.00290024394625694
MOL_0002,PEP_00004,Genotype_A,1.5,1,2,0.00422496222246552
MOL_0002,PEP_00004,Genotype_A,1.5,2,1,0.00337428651363576
MOL_0002,PEP_00004,Genotype_A,1.5,2,2,0.00329777230976928
MOL_0002,PEP_00004,Genotype_A,1.5,3,1,0.00259316460943322
MOL_0002,PEP_00004,Genotype_A,1.5,3,2,0.00333695515519994
MOL_0002,PEP_00004,Genotype_A,2,1,1,0.00325411705392671
MOL_0002,PEP_00004,Genotype_A,2,1,2,0.0035169897162345
MOL_0002,PEP_00004,Genotype_A,2,2,1,0.00330176081507726
MOL_0002,PEP_00004,Genotype_A,2,2,2,0.00423507574107705
MOL_0002,PEP_00004,Genotype_A,2,3,1,0.00321044399171746
MOL_0002,PEP_00004,Genotype_A,2,3,2,0.00390847230085772
MOL_0002,PEP_00004,Genotype_A,4,1,1,0.00540539229717261
MOL_0002,PEP_00004,Genotype_A,4,1,2,0.00487178000630366
MOL_0002,PEP_00004,Genotype_A,4,2,1,0.00418338309345231
MOL_0002,PEP_00004,Genotype_A,4,2,2,0.00324104143688544
MOL_0002,PEP_00004,Genotype_A,4,3,1,0.00485096319578697
MOL_0002,PEP_00004,Genotype_A,4,3,2,0.00428097583136663
MOL_0002,PEP_00004,Genotype_A,6,1,1,0.00370538683541998
MOL_0002,PEP_00004,Genotype_A,6,1,2,0.00488996173217178
MOL_0002,PEP_00004,Genotype_A,6,2,1,0.00256952608914948
MOL_0002,PEP_00004,Genotype_A,6,2,2,0.00197348733865975
MOL_0002,PEP_00004,Genotype_A,6,3,1,0.00474468772482785
MOL_0002,PEP_00004,Genotype_A,6,3,2,0.00642527967881133
MOL_0002,PEP_00004,Genotype_B,0,1,1,3.580768584311673e-4
MOL_0002,PEP_00004,Genotype_B,0,1,2,6.386447765785946e-4
MOL_0002,PEP_00004,Genotype_B,0,2,1,1.324250234323829e-4
MOL_0002,PEP_00004,Genotype_B,0,2,2,7.916803713697831e-4
MOL_0002,PEP_00004,Genotype_B,0,3,1,0.00126335076615226
MOL_0002,PEP_00004,Genotype_B,0,3,2,0.001495868313952
MOL_0002,PEP_00004,Genotype_B,1,1,1,0.00187501317408807
MOL_0002,PEP_00004,Genotype_B,1,1,2,0.00292557813146211
MOL_0002,PEP_00004,Genotype_B,1,2,1,0.00185168358608118
MOL_0002,PEP_00004,Genotype_B,1,2,2,0.00295012538588007
MOL_0002,PEP_00004,Genotype_B,1,3,1,0.00308009114886006
MOL_0002,PEP_00004,Genotype_B,1,3,2,0.00153841330118187
MOL_0002,PEP_00004,Genotype_B,1.5,1,1,0.0021467137067869
MOL_0002,PEP_00004,Genotype_B,1.5,1,2,0.00452498209549092
MOL_0002,PEP_00004,Genotype_B,1.5,2,1,0.00133438270057674
MOL_0002,PEP_00004,Genotype_B,1.5,2,2,0.00222756554529884
MOL_0002,PEP_00004,Genotype_B,1.5,3,1,5.49080419377711e-4
MOL_0002,PEP_00004,Genotype_B,1.5,3,2,5.087718574323652e-4
MOL_0002,PEP_00004,Genotype_B,2,1,1,0.00210053698875615
MOL_0002,PEP_00004,Genotype_B,2,1,2,0.0028096150961858
MOL_0002,PEP_00004,Genotype_B,2,2,1,4.7116995102765774e-4
MOL_0002,PEP_00004,Genotype_B,2,2,2,0.00476305678685092
MOL_0002,PEP_00004,Genotype_B,2,3,1,0.00383412114808
MOL_0002,PEP_00004,Genotype_B,2,3,2,0.00367048693689314
MOL_0002,PEP_00004,Genotype_B,4,1,1,0.00430937510374516
MOL_0002,PEP_00004,Genotype_B,4,1,2,0.00382224324121057
MOL_0002,PEP_00004,Genotype_B,4,2,1,0.0034508517037592
MOL_0002,PEP_00004,Genotype_B,4,2,2,0.00246082761024632
MOL_0002,PEP_00004,Genotype_B,4,3,1,0.00367315771324313
MOL_0002,PEP_00004,Genotype_B,4,3,2,0.00253111696086404
MOL_0002,PEP_00004,Genotype_B,6,1,1,0.0016698147309666
MOL_0002,PEP_00004,Genotype_B,6,1,2,9.370804402839992e-4
MOL_0002,PEP_00004,Genotype_B,6,2,1,0.00507791627400849
MOL_0002,PEP_00004,Genotype_B,6,2,2,0.00673925507214232
MOL_0002,PEP_00004,Genotype_B,6,3,1,0.00191551631665195
MOL_0002,PEP_00004,Genotype_B,6,3,2,0.00102547008154762
MOL_0003,PEP_00005,Genotype_A,0,1,1,2.866487586731635e-4
MOL_0003,PEP_00005,Genotype_A,0,1,2,9.287767046445516e-4
MOL_0003,PEP_00005,Genotype_A,0,2,1,4.857952277144957e-4
MOL_0003,PEP_00005,Genotype_A,0,2,2,7.662905405478183e-4
MOL_0003,PEP_00005,Genotype_A,0,3,1,3.1836909688848057e-4
MOL_0003,PEP_00005,Genotype_A,0,3,2,6.828730297087864e-4
MOL_0003,PEP_00005,Genotype_A,1,1,1,4.0678161297318213e-4
MOL_0003,PEP_00005,Genotype_A,1,1,2,5.867359426451399e-4
MOL_0003,PEP_00005,Genotype_A,1,2,1,6.855971859956533e-4
MOL_0003,PEP_00005,Genotype_A,1,2,2,NA
MOL_0003,PEP_00005,Genotype_A,1,3,1,8.565843857129289e-4
MOL_0003,PEP_00005,Genotype_A,1,3,2,0.00136794107757078
MOL_0003,PEP_00005,Genotype_A,1.5,1,1,6.74128583127644e-4
MOL_0003,PEP_00005,Genotype_A,1.5,1,2,7.858805822537144e-4
MOL_0003,PEP_00005,Genotype_A,1.5,2,1,8.165355776062663e-4
MOL_0003,PEP_00005,Genotype_A,1.5,2,2,0.00111802432219366
MOL_0003,PEP_00005,Genotype_A,1.5,3,1,5.147299964435282e-4
MOL_0003,PEP_00005,Genotype_A,1.5,3,2,5.248374424527916e-4
MOL_0003,PEP_00005,Genotype_A,2,1,1,4.927354568734107e-4
MOL_0003,PEP_00005,Genotype_A,2,1,2,0.00118702580284579
MOL_0003,PEP_00005,Genotype_A,2,2,1,7.3705801914583e-4
MOL_0003,PEP_00005,Genotype_A,2,2,2,0.00140542108032594
MOL_0003,PEP_00005,Genotype_A,2,3,1,2.242198267282564e-4
MOL_0003,PEP_00005,Genotype_A,2,3,2,4.8030707097679976e-4
MOL_0003,PEP_00005,Genotype_A,4,1,1,0.00196295343382561
MOL_0003,PEP_00005,Genotype_A,4,1,2,0.00172686402612351
MOL_0003,PEP_00005,Genotype_A,4,2,1,0.00175423951209396
MOL_0003,PEP_00005,Genotype_A,4,2,2,0.00131339573877008
MOL_0003,PEP_00005,Genotype_A,4,3,1,0.00168549840425546
MOL_0003,PEP_00005,Genotype_A,4,3,2,0.0016391559676448
MOL_0003,PEP_00005,Genotype_A,6,1,1,4.82137739891686e-4
MOL_0003,PEP_00005,Genotype_A,6,1,2,6.942725113691756e-4
MOL_0003,PEP_00005,Genotype_A,6,2,1,0.00223270379948315
MOL_0003,PEP_00005,Genotype_A,6,2,2,0.00147319530619233
MOL_0003,PEP_00005,Genotype_A,6,3,1,8.57071840862869e-4
MOL_0003,PEP_00005,Genotype_A,6,3,2,0.00104599675340809
MOL_0003,PEP_00005,Genotype_B,0,1,1,1.4100925081613275e-4
MOL_0003,PEP_00005,Genotype_B,0,1,2,4.702294019270392e-4
MOL_0003,PEP_00005,Genotype_B,0,2,1,2.0749951745672055e-4
MOL_0003,PEP_00005,Genotype_B,0,2,2,7.599820421852977e-4
MOL_0003,PEP_00005,Genotype_B,0,3,1,1.6076588936696316e-4
MOL_0003,PEP_00005,Genotype_B,0,3,2,2.518609076024285e-4
MOL_0003,PEP_00005,Genotype_B,1,1,1,6.889988538846757e-4
MOL_0003,PEP_00005,Genotype_B,1,1,2,0.00134916182389539
MOL_0003,PEP_00005,Genotype_B,1,2,1,9.99631275837896e-4
MOL_0003,PEP_00005,Genotype_B,1,2,2,0.00145231488430598
MOL_0003,PEP_00005,Genotype_B,1,3,1,0.00323258238303691
MOL_0003,PEP_00005,Genotype_B,1,3,2,0.0031032148384681
MOL_0003,PEP_00005,Genotype_B,1.5,1,1,4.792432900752222e-4
MOL_0003,PEP_00005,Genotype_B,1.5,1,2,0.00132043881457706
MOL_0003,PEP_00005,Genotype_B,1.5,2,1,5.40076426032505e-4
MOL_0003,PEP_00005,Genotype_B,1.5,2,2,8.979529687632992e-4
MOL_0003,PEP_00005,Genotype_B,1.5,3,1,5.657595894784493e-4
MOL_0003,PEP_00005,Genotype_B,1.5,3,2,7.421043483015148e-4
MOL_0003,PEP_00005,Genotype_B,2,1,1,4.5983401782378406e-4
MOL_0003,PEP_00005,Genotype_B,2,1,2,0.00123770637608505
MOL_0003,PEP_00005,Genotype_B,2,2,1,2.29223816505064e-4
MOL_0003,PEP_00005,Genotype_B,2,2,2,0.00144520748663185
MOL_0003,PEP_00005,Genotype_B,2,3,1,0.00269519974156337
MOL_0003,PEP_00005,Genotype_B,2,3,2,0.00198291949951013
MOL_0003,PEP_00005,Genotype_B,4,1,1,0.00322361011266767
MOL_0003,PEP_00005,Genotype_B,4,1,2,0.00290326174006874
MOL_0003,PEP_00005,Genotype_B,4,2,1,0.00180855236192269
MOL_0003,PEP_00005,Genotype_B,4,2,2,0.00138641918568735
MOL_0003,PEP_00005,Genotype_B,4,3,1,0.00281786959572289
MOL_0003,PEP_00005,Genotype_B,4,3,2,0.00280692930170296
MOL_0003,PEP_00005,Genotype_B,6,1,1,0.00116495616173301
MOL_0003,PEP_00005,Genotype_B,6,1,2,9.853871982099948e-4
MOL_0003,PEP_00005,Genotype_B,6,2,1,8.404006565709435e-4
MOL_0003,PEP_00005,Genotype_B,6,2,2,7.650410838147411e-4
MOL_0003,PEP_00005,Genotype_B,6,3,1,0.00363922297573742
MOL_0003,PEP_00005,Genotype_B,6,3,2,0.00306394578087814
MOL_0004,PEP_00006,Genotype_A,0,1,1,NA
MOL_0004,PEP_00006,Genotype_A,0,1,2,NA
MOL_0004,PEP_00006,Genotype_A,0,2,1,NA
MOL_0004,PEP_00006,Genotype_A,0,2,2,NA
MOL_0004,PEP_00006,Genotype_A,0,3,1,NA
MOL_0004,PEP_00006,Genotype_A,0,3,2,NA
MOL_0004,PEP_00006,Genotype_A,1,1,1,NA
MOL_0004,PEP_00006,Genotype_A,1,1,2,NA
MOL_0004,PEP_00006,Genotype_A,1,2,1,NA
MOL_0004,PEP_00006,Genotype_A,1,2,2,NA
MOL_0004,PEP_00006,Genotype_A,1,3,1,NA
MOL_0004,PEP_00006,Genotype_A,1,3,2,NA
MOL_0004,PEP_00006,Genotype_A,1.5,1,1,NA
MOL_0004,PEP_00006,Genotype_A,1.5,1,2,NA
MOL_0004,PEP_00006,Genotype_A,1.5,2,1,NA
MOL_0004,PEP_00006,Genotype_A,1.5,2,2,NA
MOL_0004,PEP_00006,Genotype_A,1.5,3,1,NA
MOL_0004,PEP_00006,Genotype_A,1.5,3,2,NA
MOL_0004,PEP_00006,Genotype_A,2,1,1,NA
MOL_0004,PEP_00006,Genotype_A,2,1,2,NA
MOL_0004,PEP_00006,Genotype_A,2,2,1,2.0526579545079377e-4
MOL_0004,PEP_00006,Genotype_A,2,2,2,2.987327365554579e-4
MOL_0004,PEP_00006,Genotype_A,2,3,1,NA
