protein_name,genotype,bio_rep,tech_rep,timepoints,timepoints_values,new_annotation
PROT_0005,Genotype_A,3,0,150,2289164.081,PEP_00006
PROT_0005,Genotype_A,1,0,300,966633.0841,PEP_00006
PROT_0005,Genotype_A,2,0,300,55369.44827,PEP_00006
PROT_0005,Genotype_A,3,0,300,1221138.136,PEP_00006
PROT_0005,Genotype_A,1,0,600,981221.1025,PEP_00006
PROT_0005,Genotype_A,2,0,600,189478.6094,PEP_00006
PROT_0005,Genotype_A,3,0,600,838020.9823,PEP_00006
PROT_0006,Genotype_A,1,0,0,935948.0079,PEP_00007
PROT_0006,Genotype_A,2,0,0,2300832.476,PEP_00007
PROT_0006,Genotype_A,3,0,0,2971869.156,PEP_00007
PROT_0006,Genotype_A,1,0,150,14970.29172,PEP_00007
PROT_0006,Genotype_A,2,0,150,172526.5447,PEP_00007
PROT_0006,Genotype_A,3,0,150,2246864.65,PEP_00007
PROT_0006,Genotype_A,1,0,300,1842034.202,PEP_00007
PROT_0006,Genotype_A,2,0,300,432603.2544,PEP_00007
PROT_0006,Genotype_A,3,0,300,2593312.427,PEP_00007
PROT_0006,Genotype_A,1,0,600,588485.159,PEP_00007
PROT_0006,Genotype_A,2,0,600,267012.6208,PEP_00007
PROT_0006,Genotype_A,3,0,600,1804879.212,PEP_00007
PROT_0007,Genotype_A,1,0,0,1187078.694,PEP_00008
PROT_0007,Genotype_A,2,0,0,2329409.975,PEP_00008
PROT_0007,Genotype_A,3,0,0,3381825.295,PEP_00008
PROT_0007,Genotype_A,1,0,150,2181642.767,PEP_00008
PROT_0007,Genotype_A,2,0,150,2483436.92,PEP_00008
PROT_0007,Genotype_A,3,0,150,205788.4564,PEP_00008
PROT_0007,Genotype_A,1,0,300,2355147.68,PEP_00008
PROT_0007,Genotype_A,2,0,300,1560765.676,PEP_00008
PROT_0007,Genotype_A,3,0,300,2970431.617,PEP_00008
PROT_0007,Genotype_A,1,0,600,814576.7097,PEP_00008
PROT_0007,Genotype_A,2,0,600,2347522.75,PEP_00008
PROT_0007,Genotype_A,3,0,600,4611531.996,PEP_00008
PROT_0008,Genotype_A,1,0,0,1506831.167,PEP_00009
PROT_0008,Genotype_A,2,0,0,424425.5258,PEP_00009
PROT_0008,Genotype_A,3,0,0,286651.2026,PEP_00009
PROT_0008,Genotype_A,1,0,150,2185149.398,PEP_00009
PROT_0008,Genotype_A,2,0,150,195845.0082,PEP_00009
PROT_0008,Genotype_A,3,0,150,336606.5735,PEP_00009
PROT_0008,Genotype_A,1,0,300,1269320.078,PEP_00009
PROT_0008,Genotype_A,2,0,300,226925.2977,PEP_00009
PROT_0008,Genotype_A,3,0,300,677777.9476,PEP_00009
PROT_0008,Genotype_A,1,0,600,1955319.516,PEP_00009
PROT_0008,Genotype_A,2,0,600,214109.7422,PEP_00009
PROT_0008,Genotype_A,3,0,600,560840.6141,PEP_00009
PROT_0009,Genotype_A,1,0,0,155102.2418,PEP_00010
PROT_0009,Genotype_A,2,0,0,3780147.455,PEP_00010
PROT_0009,Genotype_A,3,0,0,224922.0294,PEP_00010
PROT_0009,Genotype_A,1,0,150,186830.1039,PEP_00010
PROT_0009,Genotype_A,2,0,150,3914449.188,PEP_00010
PROT_0009,Genotype_A,3,0,150,65172.1238,PEP_00010
PROT_0009,Genotype_A,1,0,300,241370.4185,PEP_00010
PROT_0009,Genotype_A,2,0,300,3223870.606,PEP_00010
PROT_0009,Genotype_A,3,0,300,284080.5836,PEP_00010
PROT_0009,Genotype_A,1,0,600,218957.1852,PEP_00010
PROT_0009,Genotype_A,2,0,600,3208658.75,PEP_00010
PROT_0009,Genotype_A,3,0,600,229694.2689,PEP_00010
PROT_0010,Genotype_A,1,0,0,1141870.442,PEP_00011
PROT_0010,Genotype_A,2,0,0,594135.0016,PEP_00011
PROT_0010,Genotype_A,3,0,0,423937.3294,PEP_00011
PROT_0010,Genotype_A,1,0,150,817187.4176,PEP_00011
PROT_0010,Genotype_A,2,0,150,632011.4819,PEP_00011
PROT_0010,Genotype_A,3,0,150,406972.6429,PEP_00011
PROT_0010,Genotype_A,1,0,300,1624954.229,PEP_00011
PROT_0010,Genotype_A,2,0,300,290509.0549,PEP_00011
PROT_0010,Genotype_A,3,0,300,538167.6933,PEP_00011
PROT_0010,Genotype_A,1,0,600,1251154.321,PEP_00011
PROT_0010,Genotype_A,2,0,600,604982.9375,PEP_00011
PROT_0010,Genotype_A,3,0,600,605828.123,PEP_00011
PROT_0011,Genotype_A,1,0,0,4950996.442,PEP_00012
PROT_0011,Genotype_A,2,0,0,1616561.51,PEP_00012
PROT_0011,Genotype_A,3,0,0,6931963.379,PEP_00012
PROT_0011,Genotype_A,1,0,150,3462418.626,PEP_00012
PROT_0011,Genotype_A,2,0,150,1839494.675,PEP_00012
PROT_0011,Genotype_A,3,0,150,4758274.551,PEP_00012
PROT_0011,Genotype_A,1,0,300,2970040.942,PEP_00012
PROT_0011,Genotype_A,2,0,300,976417.9229,PEP_00012
PROT_0011,Genotype_A,3,0,300,6568434.296,PEP_00012
PROT_0011,Genotype_A,1,0,600,3216965.841,PEP_00012
PROT_0011,Genotype_A,2,0,600,1387903.313,PEP_00012
PROT_0011,Genotype_A,3,0,600,7513687.307,PEP_00012
PROT_0012,Genotype_A,1,0,0,16879.66079,PEP_00013
PROT_0012,Genotype_A,2,0,0,1173351.923,PEP_00013
PROT_0012,Genotype_A,3,0,0,192468.1348,PEP_00013
PROT_0012,Genotype_A,1,0,150,183841.7967,PEP_00013
PROT_0012,Genotype_A,2,0,150,291287.6874,PEP_00013
PROT_0012,Genotype_A,3,0,150,139384.2492,PEP_00013
PROT_0012,Genotype_A,1,0,300,249605.3501,PEP_00013
PROT_0012,Genotype_A,2,0,300,304488.2434,PEP_00013
PROT_0012,Genotype_A,3,0,300,83265.43489,PEP_00013
PROT_0012,Genotype_A,1,0,600,31744.01461,PEP_00013
PROT_0012,Genotype_A,2,0,600,60710.93885,PEP_00013
PROT_0012,Genotype_A,3,0,600,39012.46875,PEP_00013
PROT_0013,Genotype_A,1,0,0,4034433.386,PEP_00014
PROT_0013,Genotype_A,2,0,0,1965439.095,PEP_00014
PROT_0013,Genotype_A,3,0,0,2233704.985,PEP_00014
PROT_0013,Genotype_A,1,0,150,4321750.919,PEP_00014
PROT_0013,Genotype_A,2,0,150,1487925.845,PEP_00014
PROT_0013,Genotype_A,3,0,150,1673802.251,PEP_00014
PROT_0013,Genotype_A,1,0,300,3676089.354,PEP_00014
PROT_0013,Genotype_A,2,0,300,1112413.474,PEP_00014
PROT_0013,Genotype_A,3,0,300,1964923.947,PEP_00014
PROT_0013,Genotype_A,1,0,600,3046952.669,PEP_00014
PROT_0013,Genotype_A,2,0,600,841149.5,PEP_00014
PROT_0013,Genotype_A,3,0,600,3078647.486,PEP_00014
PROT_0014,Genotype_A,1,0,0,3114212.187,PEP_00015
PROT_0014,Genotype_A,2,0,0,1037662.038,PEP_00015
PROT_0014,Genotype_A,3,0,0,1477612.907,PEP_00015
PROT_0014,Genotype_A,1,0,150,2867226.477,PEP_00015
PROT_0014,Genotype_A,2,0,150,578106.7723,PEP_00015
PROT_0014,Genotype_A,3,0,150,1141245.132,PEP_00015
PROT_0014,Genotype_A,1,0,300,3007863.79,PEP_00015
PROT_0014,Genotype_A,2,0,300,213227.3694,PEP_00015
PROT_0014,Genotype_A,3,0,300,1128712.111,PEP_00015
PROT_0014,Genotype_A,1,0,600,3517395.805,PEP_00015
PROT_0014,Genotype_A,2,0,600,295746.4688,PEP_00015
PROT_0014,Genotype_A,3,0,600,1581893.318,PEP_00015
PROT_0015,Genotype_A,1,0,0,130115.4643,PEP_00016
PROT_0015,Genotype_A,2,0,0,2324735.199,PEP_00016
PROT_0015,Genotype_A,3,0,0,2326207.675,PEP_00016
PROT_0015,Genotype_A,1,0,150,257255.5152,PEP_00016
PROT_0015,Genotype_A,2,0,150,1439954.853,PEP_00016
PROT_0015,Genotype_A,3,0,150,1930296.166,PEP_00016
PROT_0015,Genotype_A,1,0,300,290071.6767,PEP_00016
PROT_0015,Genotype_A,2,0,300,1576476.373,PEP_00016
PROT_0015,Genotype_A,3,0,300,2092734.508,PEP_00016
PROT_0015,Genotype_A,1,0,600,255863.6171,PEP_00016
PROT_0015,Genotype_A,2,0,600,1357088.875,PEP_00016
PROT_0015,Genotype_A,3,0,600,1625320.57,PEP_00016
PROT_0016,Genotype_A,1,0,0,2957807.94,PEP_00017
PROT_0016,Genotype_A,2,0,0,1124083.082,PEP_00017
PROT_0016,Genotype_A,3,0,0,139803.8051,PEP_00017
PROT_0016,Genotype_A,1,0,150,1327555.896,PEP_00017
PROT_0016,Genotype_A,2,0,150,2804404.306,PEP_00017
PROT_0016,Genotype_A,3,0,150,58479.75281,PEP_00017
PROT_0016,Genotype_A,1,0,300,187464.0139,PEP_00017
PROT_0016,Genotype_A,2,0,300,230349.487,PEP_00017
PROT_0016,Genotype_A,3,0,300,43499.30144,PEP_00017
PROT_0016,Genotype_A,1,0,600,1349403.739,PEP_00017
PROT_0016,Genotype_A,2,0,600,1574166,PEP_00017
PROT_0016,Genotype_A,3,0,600,269435.9563,PEP_00017
PROT_0016,Genotype_A,1,0,0,20027699.74,PEP_00018
PROT_0016,Genotype_A,2,0,0,7578039.29,PEP_00018
PROT_0016,Genotype_A,3,0,0,26157358.27,PEP_00018
PROT_0016,Genotype_A,1,0,150,5391923.331,PEP_00018
PROT_0016,Genotype_A,2,0,150,18402649.1,PEP_00018
PROT_0016,Genotype_A,3,0,150,22362117.59,PEP_00018
PROT_0016,Genotype_A,1,0,300,7074687.093,PEP_00018
PROT_0016,Genotype_A,2,0,300,3039629.534,PEP_00018
PROT_0016,Genotype_A,3,0,300,29038613.24,PEP_00018
PROT_0016,Genotype_A,1,0,600,8783392.446,PEP_00018
PROT_0016,Genotype_A,2,0,600,10302017.56,PEP_00018
PROT_0016,Genotype_A,3,0,600,26832358.32,PEP_00018
PROT_0017,Genotype_A,1,0,0,1163004.391,PEP_00019
PROT_0017,Genotype_A,2,0,0,62162.28539,PEP_00019
PROT_0017,Genotype_A,3,0,0,241505.3467,PEP_00019
PROT_0017,Genotype_A,1,0,150,307811.7377,PEP_00019
PROT_0017,Genotype_A,2,0,150,39955.44559,PEP_00019
PROT_0017,Genotype_A,3,0,150,127242.5916,PEP_00019
PROT_0017,Genotype_A,1,0,300,313850.2892,PEP_00019
PROT_0017,Genotype_A,2,0,300,26221.63213,PEP_00019
PROT_0017,Genotype_A,3,0,300,36035.25261,PEP_00019
PROT_0017,Genotype_A,1,0,600,368799.2035,PEP_00019
PROT_0017,Genotype_A,2,0,600,23216.51953,PEP_00019
PROT_0017,Genotype_A,3,0,600,171821.6064,PEP_00019
PROT_0018,Genotype_A,1,0,0,243306.6228,PEP_00020
PROT_0018,Genotype_A,2,0,0,4869768.731,PEP_00020
PROT_0018,Genotype_A,3,0,0,245190.3555,PEP_00020
PROT_0018,Genotype_A,1,0,150,3260122.71,PEP_00020
PROT_0018,Genotype_A,2,0,150,8189941.7302591205,PEP_00020
PROT_0018,Genotype_A,3,0,150,193168.6365,PEP_00020
PROT_0018,Genotype_A,1,0,300,2508932.319,PEP_00020
PROT_0018,Genotype_A,2,0,300,1094101.151,PEP_00020
PROT_0018,Genotype_A,3,0,300,12098.76118,PEP_00020
PROT_0018,Genotype_A,1,0,600,2451230.086,PEP_00020
PROT_0018,Genotype_A,2,0,600,3551626.625,PEP_00020
PROT_0018,Genotype_A,3,0,600,1210659.169,PEP_00020
PROT_0019,Genotype_A,1,0,0,165510.8494,PEP_00021
PROT_0019,Genotype_A,2,0,0,157923.87,PEP_00021
PROT_0019,Genotype_A,3,0,0,85596.58901,PEP_00021
PROT_0019,Genotype_A,1,0,150,219536.3353,PEP_00021
PROT_0019,Genotype_A,2,0,150,1894879.497,PEP_00021
PROT_0019,Genotype_A,3,0,150,130545.6299,PEP_00021
PROT_0019,Genotype_A,1,0,300,1106536.916,PEP_00021
PROT_0019,Genotype_A,2,0,300,881933.9858,PEP_00021
PROT_0019,Genotype_A,3,0,300,132062.7511,PEP_00021
PROT_0019,Genotype_A,1,0,600,1188460,PEP_00021
PROT_0019,Genotype_A,2,0,600,948888.6875,PEP_00021
PROT_0019,Genotype_A,3,0,600,60406.55335,PEP_00021
PROT_0020,Genotype_A,1,0,0,3720137.417,PEP_00022
PROT_0020,Genotype_A,2,0,0,1925075.043,PEP_00022
PROT_0020,Genotype_A,3,0,0,3253578.634,PEP_00022
PROT_0020,Genotype_A,1,0,150,6537686.247,PEP_00022
PROT_0020,Genotype_A,2,0,150,2593440.846,PEP_00022
PROT_0020,Genotype_A,3,0,150,4669011.506,PEP_00022
PROT_0020,Genotype_A,1,0,300,7426286.183,PEP_00022
PROT_0020,Genotype_A,2,0,300,2638023.553,PEP_00022
PROT_0020,Genotype_A,3,0,300,7964116.874,PEP_00022
PROT_0020,Genotype_A,1,0,600,7066533.552,PEP_00022
PROT_0020,Genotype_A,2,0,600,2185975.25,PEP_00022
PROT_0020,Genotype_A,3,0,600,10442747.62,PEP_00022
PROT_0021,Genotype_A,1,0,0,15326.87971,PEP_00023
PROT_0021,Genotype_A,2,0,0,664030.7505,PEP_00023
PROT_0021,Genotype_A,3,0,0,233948.8809,PEP_00023
PROT_0021,Genotype_A,1,0,150,275877.48,PEP_00023
PROT_0021,Genotype_A,2,0,150,1112068.727,PEP_00023
PROT_0021,Genotype_A,3,0,150,41511.89673,PEP_00023
PROT_0021,Genotype_A,1,0,300,79532.53633,PEP_00023
PROT_0021,Genotype_A,2,0,300,346449.1864,PEP_00023
PROT_0021,Genotype_A,3,0,300,233155.7922,PEP_00023
PROT_0021,Genotype_A,1,0,600,151882.4095,PEP_00023
PROT_0021,Genotype_A,2,0,600,557309.25,PEP_00023
PROT_0021,Genotype_A,3,0,600,221490.3736,PEP_00023
PROT_0022,Genotype_A,1,0,0,3767436.069,PEP_00024
PROT_0022,Genotype_A,2,0,0,2661300,PEP_00024
PROT_0022,Genotype_A,3,0,0,28986.98806,PEP_00024
PROT_0022,Genotype_A,1,0,150,151444.0676,PEP_00024
PROT_0022,Genotype_A,2,0,150,4810346.66,PEP_00024
PROT_0022,Genotype_A,3,0,150,46589.62917,PEP_00024
PROT_0022,Genotype_A,1,0,300,2213807.833,PEP_00024
PROT_0022,Genotype_A,2,0,300,928709.798,PEP_00024
PROT_0022,Genotype_A,3,0,300,33017.68122,PEP_00024
PROT_0022,Genotype_A,1,0,600,3451213.323,PEP_00024
PROT_0022,Genotype_A,2,0,600,1555064.375,PEP_00024
PROT_0022,Genotype_A,3,0,600,85833.1927,PEP_00024
PROT_0023,Genotype_A,1,0,0,1475943.232,PEP_00025
PROT_0023,Genotype_A,2,0,0,5093480.484,PEP_00025
PROT_0023,Genotype_A,3,0,0,297888.1907,PEP_00025
PROT_0023,Genotype_A,1,0,150,1412109.904,PEP_00025
PROT_0023,Genotype_A,2,0,150,5818774.415,PEP_00025
PROT_0023,Genotype_A,3,0,150,281074.3229,PEP_00025
PROT_0023,Genotype_A,1,0,300,24654.46177,PEP_00025
PROT_0023,Genotype_A,2,0,300,5435410.598,PEP_00025
PROT_0023,Genotype_A,3,0,300,247130.4605,PEP_00025
PROT_0023,Genotype_A,1,0,600,165985.3381,PEP_00025
PROT_0023,Genotype_A,2,0,600,4877639.5,PEP_00025
PROT_0023,Genotype_A,3,0,600,219439.5335,PEP_00025
PROT_0023,Genotype_A,1,0,0,12826774.12,PEP_00026
PROT_0023,Genotype_A,2,0,0,44899508.19,PEP_00026
PROT_0023,Genotype_A,3,0,0,17299246.29,PEP_00026
PROT_0023,Genotype_A,1,0,150,14876160.74,PEP_00026
PROT_0023,Genotype_A,2,0,150,20456921.15,PEP_00026
PROT_0023,Genotype_A,3,0,150,11044033.25,PEP_00026
PROT_0023,Genotype_A,1,0,300,10600113.61,PEP_00026
PROT_0023,Genotype_A,2,0,300,10387167.38,PEP_00026
PROT_0023,Genotype_A,3,0,300,12708612.82,PEP_00026
PROT_0023,Genotype_A,1,0,600,9726734.284,PEP_00026
PROT_0023,Genotype_A,2,0,600,10180245.44,PEP_00026
PROT_0023,Genotype_A,3,0,600,15589146.06,PEP_00026
PROT_0024,Genotype_A,1,0,0,2652427.571,PEP_00027
PROT_0024,Genotype_A,2,0,0,373734.1536,PEP_00027
PROT_0024,Genotype_A,3,0,0,1802996.656,PEP_00027
PROT_0024,Genotype_A,1,0,150,1284675.669,PEP_00027
PROT_0024,Genotype_A,2,0,150,220553.0486,PEP_00027
PROT_0024,Genotype_A,3,0,150,1396219.081,PEP_00027
PROT_0024,Genotype_A,1,0,300,1229908.465,PEP_00027
PROT_0024,Genotype_A,2,0,300,262148.7754,PEP_00027
PROT_0024,Genotype_A,3,0,300,1245719.236,PEP_00027
PROT_0024,Genotype_A,1,0,600,1411904.155,PEP_00027
PROT_0024,Genotype_A,2,0,600,298678.8025,PEP_00027
PROT_0024,Genotype_A,3,0,600,307969.6233,PEP_00027
PROT_0025,Genotype_A,1,0,0,27734276.63,PEP_00028
PROT_0025,Genotype_A,2,0,0,5677579.76,PEP_00028
PROT_0025,Genotype_A,3,0,0,142908.5241,PEP_00028
PROT_0025,Genotype_A,1,0,150,23027668.9,PEP_00028
PROT_0025,Genotype_A,2,0,150,3208441.885,PEP_00028
PROT_0025,Genotype_A,3,0,150,303243.3301,PEP_00028
PROT_0025,Genotype_A,1,0,300,22653322.3,PEP_00028
PROT_0025,Genotype_A,2,0,300,2221696.769,PEP_00028
PROT_0025,Genotype_A,3,0,300,158479.8454,PEP_00028
PROT_0025,Genotype_A,1,0,600,17300134,PEP_00028
PROT_0025,Genotype_A,2,0,600,1897376.047,PEP_00028
PROT_0025,Genotype_A,3,0,600,260308.2291,PEP_00028
PROT_0025,Genotype_A,1,0,0,29058708.69,PEP_00029
PROT_0025,Genotype_A,2,0,0,8394947.413,PEP_00029
PROT_0025,Genotype_A,3,0,0,885758.6706,PEP_00029
PROT_0025,Genotype_A,1,0,150,22129285.76,PEP_00029
PROT_0025,Genotype_A,2,0,150,7639016.473,PEP_00029
PROT_0025,Genotype_A,3,0,150,690545.9505,PEP_00029
PROT_0025,Genotype_A,1,0,300,26222775.44,PEP_00029
PROT_0025,Genotype_A,2,0,300,4634019.559,PEP_00029
PROT_0025,Genotype_A,3,0,300,1200575.399,PEP_00029
PROT_0025,Genotype_A,1,0,600,21695581.24,PEP_00029
PROT_0025,Genotype_A,2,0,600,4500524.609,PEP_00029
PROT_0025,Genotype_A,3,0,600,1761602.257,PEP_00029
PROT_0026,Genotype_A,1,0,0,22107668.08,PEP_00030
PROT_0026,Genotype_A,2,0,0,18855557.15,PEP_00030
PROT_0026,Genotype_A,3,0,0,33552673.72,PEP_00030
PROT_0026,Genotype_A,1,0,150,28582729.04,PEP_00030
PROT_0026,Genotype_A,2,0,150,20522007.8,PEP_00030
PROT_0026,Genotype_A,3,0,150,31726482.66,PEP_00030
PROT_0026,Genotype_A,1,0,300,26355617.49,PEP_00030
PROT_0026,Genotype_A,2,0,300,10072018.68,PEP_00030
PROT_0026,Genotype_A,3,0,300,28483259.79,PEP_00030
PROT_0026,Genotype_A,1,0,600,23700267.09,PEP_00030
PROT_0026,Genotype_A,2,0,600,9605832,PEP_00030
PROT_0026,Genotype_A,3,0,600,36270999.91,PEP_00030
PROT_0027,Genotype_A,1,0,0,4695126.601,PEP_00031
PROT_0027,Genotype_A,2,0,0,140788.4511,PEP_00031
PROT_0027,Genotype_A,3,0,0,70889.11128,PEP_00031
PROT_0027,Genotype_A,1,0,150,3239393.685,PEP_00031
PROT_0027,Genotype_A,2,0,150,235454.7721,PEP_00031
PROT_0027,Genotype_A,3,0,150,186737.4713,PEP_00031
PROT_0027,Genotype_A,1,0,300,4240636.98,PEP_00031
PROT_0027,Genotype_A,2,0,300,295493.4977,PEP_00031
PROT_0027,Genotype_A,3,0,300,305321.0301,PEP_00031
PROT_0027,Genotype_A,1,0,600,2825349.548,PEP_00031
PROT_0027,Genotype_A,2,0,600,191235.1934,PEP_00031
PROT_0027,Genotype_A,3,0,600,300235.1304,PEP_00031
PROT_0028,Genotype_A,1,0,0,89829.11892,PEP_00032
PROT_0028,Genotype_A,2,0,0,120131.3092,PEP_00032
PROT_0028,Genotype_A,3,0,0,145243.7651,PEP_00032
PROT_0028,Genotype_A,1,0,150,105942.2629,PEP_00032
PROT_0028,Genotype_A,2,0,150,1893300.261,PEP_00032
PROT_0028,Genotype_A,3,0,150,186645.393,PEP_00032
PROT_0028,Genotype_A,1,0,300,255801.3257,PEP_00032
PROT_0028,Genotype_A,2,0,300,650172.1585,PEP_00032
PROT_0028,Genotype_A,3,0,300,210895.5804,PEP_00032
PROT_0028,Genotype_A,1,0,600,167449.37,PEP_00032
PROT_0028,Genotype_A,2,0,600,1265273.75,PEP_00032
PROT_0028,Genotype_A,3,0,600,207664.8291,PEP_00032
PROT_0029,Genotype_A,1,0,0,2904507.157,PEP_00033
PROT_0029,Genotype_A,2,0,0,108604.9453,PEP_00033
PROT_0029,Genotype_A,3,0,0,112358.3535,PEP_00033
PROT_0029,Genotype_A,1,0,150,3229044.034,PEP_00033
PROT_0029,Genotype_A,2,0,150,81964.30666,PEP_00033
PROT_0029,Genotype_A,3,0,150,16906.66658,PEP_00033
PROT_0029,Genotype_A,1,0,300,2321459.744,PEP_00033
PROT_0029,Genotype_A,2,0,300,206276.7774,PEP_00033
PROT_0029,Genotype_A,3,0,300,61055.08258,PEP_00033
PROT_0029,Genotype_A,1,0,600,2569338.949,PEP_00033
PROT_0029,Genotype_A,2,0,600,153462.8352,PEP_00033
PROT_0029,Genotype_A,3,0,600,44709.63005,PEP_00033
PROT_0030,Genotype_A,1,0,0,823733.5883,PEP_00034
PROT_0030,Genotype_A,2,0,0,689882.0294,PEP_00034
PROT_0030,Genotype_A,3,0,0,99095.60269,PEP_00034
PROT_0030,Genotype_A,1,0,150,854136.975,PEP_00034
PROT_0030,Genotype_A,2,0,150,1216561.749,PEP_00034
PROT_0030,Genotype_A,3,0,150,109690.937,PEP_00034
PROT_0030,Genotype_A,1,0,300,1980823.071,PEP_00034
PROT_0030,Genotype_A,2,0,300,750645.5171,PEP_00034
PROT_0030,Genotype_A,3,0,300,100524.3787,PEP_00034
PROT_0030,Genotype_A,1,0,600,1550978.038,PEP_00034
PROT_0030,Genotype_A,2,0,600,673242.5625,PEP_00034
PROT_0030,Genotype_A,3,0,600,24295.36208,PEP_00034
PROT_0031,Genotype_A,1,0,0,261172.4843,PEP_00035
PROT_0031,Genotype_A,2,0,0,1963951.778,PEP_00035
PROT_0031,Genotype_A,3,0,0,253826.8925,PEP_00035
PROT_0031,Genotype_A,1,0,150,57800.303572326004,PEP_00035
PROT_0031,Genotype_A,2,0,150,1963858.019,PEP_00035
PROT_0031,Genotype_A,3,0,150,35269.56427,PEP_00035
PROT_0031,Genotype_A,1,0,300,189129.0693,PEP_00035
PROT_0031,Genotype_A,2,0,300,1870309.262,PEP_00035
PROT_0031,Genotype_A,3,0,300,195409.4322,PEP_00035
PROT_0031,Genotype_A,1,0,600,40327.36608,PEP_00035
PROT_0031,Genotype_A,2,0,600,2160111,PEP_00035
PROT_0031,Genotype_A,3,0,600,288762.0619,PEP_00035
PROT_0032,Genotype_A,1,0,0,1115862.199,PEP_00036
PROT_0032,Genotype_A,2,0,0,1081173.448,PEP_00036
